,id,asin,description,title,price,imUrl,brand,category1,category2,profit,cp
73,20539,B073RJTFQP,Men's Casual Shirt,Lee Men's Casual Shirt,959,https://images-na.ssl-images-amazon.com/images/I/81po8MBI9-L._UL1500_.jpg,Lee,Clothing,Men,153,806
74,20638,B07DMS9ZQG,"Lee men's gold, cotton, self design, long sleeves shirts.",Lee Men's Checkered Slim Fit Casual Shirt,1016,https://images-na.ssl-images-amazon.com/images/I/81VhurO9lJL._UL1500_.jpg,Lee,Clothing,Men,212,804
75,20700,B07DN1QT4Y,"Lee men's grey, blended, solid, long sleeves shirts.",Lee Men's Solid Slim Fit Casual Shirt,1169,https://images-na.ssl-images-amazon.com/images/I/81OJtH0n-DL._UL1500_.jpg,Lee,Clothing,Men,377,792
76,21029,B078JM13P3,"Solid white stylised shirt, with spread collar and full sleeve.",Lee Men's Solid Slim Fit Casual Shirt,1039,https://images-na.ssl-images-amazon.com/images/I/81IypIhouKL._UL1500_.jpg,Lee,Clothing,Men,518,521
77,1449,B078JLP7PB,"Solid cream stylised shirt, with mandarin collar and full sleeve.",Lee Men's Solid Slim Fit Casual Shirt,1039,https://images-na.ssl-images-amazon.com/images/I/81ttjFFFJ7L._UL1500_.jpg,Lee,Clothing,Men,440,599
78,1872,B073RK6LRC,Casual Denim Shirt,Lee Men's Casual Shirt,1239,https://images-na.ssl-images-amazon.com/images/I/915M78DLDEL._UL1500_.jpg,Lee,Clothing,Men,209,1030
79,2034,B07MBQ5NQM,Lee classic 5 pocket jeans styling.,Lee Men's Slim Fit Jeans,2999,https://images-na.ssl-images-amazon.com/images/I/816ahdnQhML._UL1500_.jpg,Lee,Clothing,Men,537,2462
80,2117,B07MMSRTJ4,Slim Fit Jeans,KILLER Men's Slim Fit Jeans,2799,https://images-na.ssl-images-amazon.com/images/I/8125-O2zkiL._UL1500_.jpg,Killer,Clothing,Men,725,2074
81,6188,B06X9X1TY5,Slim fit Jeans,KILLER Men's Slim Fit Jeans,1410,https://images-na.ssl-images-amazon.com/images/I/71z6D%2BPw-%2BL._UL1500_.jpg,Killer,Clothing,Men,111,1299
82,6248,B06XGGZ59G,Slim Fit Jeans,KILLER Men's Slim Fit Jeans,1499,https://images-na.ssl-images-amazon.com/images/I/71MRKL5nvAL._UL1500_.jpg,Killer,Clothing,Men,149,1350
83,6253,B079QRTYP2,Celio* 98% cotton 2% elastane straight slim fit solid jean.,Celio Men's Straight Fit Jeans,1799,https://images-na.ssl-images-amazon.com/images/I/81P5tGBA-rL._UL1500_.jpg,Celio,Clothing,Men,273,1526
84,6309,B075QLHM94,Men's Straight Fit Jeans,Celio Men's Straight Fit Jeans,2099,https://images-na.ssl-images-amazon.com/images/I/81CBqkklSkL._UL1500_.jpg,Celio,Clothing,Men,326,1773
85,6371,B079QRNRH4,Celio cotton straight slim fit solid jean.,Celio Men's Straight Fit Jeans,1799,https://images-na.ssl-images-amazon.com/images/I/71BQt4HkC4L._UL1500_.jpg,Celio,Clothing,Men,751,1048
86,6427,B079QKFDWT,Celio slim fit solid jean.,Celio Men's Slim Fit Jeans,1799,https://images-na.ssl-images-amazon.com/images/I/91HooDlTEtL._UL1500_.jpg,Celio,Clothing,Men,539,1260
87,6483,B07P6G2BLS,Men's Casual Trousers,Amazon Brand - Symbol Men's Casual Trousers,584,https://images-na.ssl-images-amazon.com/images/I/81rHWBHIOyL._UL1500_.jpg,Symbol,Clothing,Men,262,322
