,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
34,9115,B07P9WH2WV,Symbol Women's Tapered Pants,Amazon Brand - Symbol Women's Tapered Pants,479,https://images-na.ssl-images-amazon.com/images/I/81K8EP878ML._UL1500_.jpg,Symbol,Clothing,Women,170,309,https://www.amazon.in/dp/B07P9WH2WV
35,9211,B07P8R4J7B,Symbol Women's Flared Pants,Amazon Brand - Symbol Women's Flared Pants,479,https://images-na.ssl-images-amazon.com/images/I/91vRb3qOzxL._UL1500_.jpg,Symbol,Clothing,Women,375,104,https://www.amazon.in/dp/B07P8R4J7B
36,9364,B07P7M48X3,"Symbol women is a one-stop shop for casual bottoms. We embrace latest trends and style to offer a range of understated elegant products. It's all about the subtle details too, with quality finishes.",Amazon Brand - Symbol Women's Pants,539,https://images-na.ssl-images-amazon.com/images/I/81uVwBUTqQL._UL1500_.jpg,Symbol,Clothing,Women,205,334,https://www.amazon.in/dp/B07P7M48X3
37,11895,B07P9V7734,Symbol Women's Flared Pants,Amazon Brand - Symbol Women's Flared Pants,629,https://images-na.ssl-images-amazon.com/images/I/818jN1k1JzL._UL1500_.jpg,Symbol,Clothing,Women,310,319,https://www.amazon.in/dp/B07P9V7734
38,12014,B07P6G8LS1,Symbol Women's Carrot Pants,Amazon Brand - Symbol Women's Carrot Pants,839,https://images-na.ssl-images-amazon.com/images/I/71RmQ2LKSQL._UL1500_.jpg,Symbol,Clothing,Women,811,28,https://www.amazon.in/dp/B07P6G8LS1
39,12249,B06XKCWD7W,"Yellow floral print top with a round neckline, three quarter ruffle sleeves and a button-top closure with a keyhole at the back",AND Women's Body Blouse Shirt (SS17AA031TP94PRINT10),899,https://images-na.ssl-images-amazon.com/images/I/81wW-%2BDWnRL._UL1500_.jpg,And,Clothing,Women,671,228,https://www.amazon.in/dp/B06XKCWD7W
40,12411,B07DSMRGQX,Three quarter flared sleeve with round neck top. 100% Polyester.,AND Women's Plain Regular Fit Top,675,https://images-na.ssl-images-amazon.com/images/I/919WyEQhoVL._UL1500_.jpg,And,Clothing,Women,587,88,https://www.amazon.in/dp/B07DSMRGQX
41,12691,B07JD5W4Q9,Printed 3/4th sleeves with round neck regular fit casual top.,AND Women's Striped Regular Fit Top,699,https://images-na.ssl-images-amazon.com/images/I/81fJ1wTQtpL._UL1500_.jpg,And,Clothing,Women,521,178,https://www.amazon.in/dp/B07JD5W4Q9
42,12694,B07GDNXNRM,Waist length boat neck 3/4 sleeves aqua printed top regular fit.,AND Women's Tribal Regular Fit Top,674,https://images-na.ssl-images-amazon.com/images/I/91qx0QHHPhL._UL1500_.jpg,And,Clothing,Women,426,248,https://www.amazon.in/dp/B07GDNXNRM
43,13030,B07CNZXNTH,High-neck collar with a v-slit full sleeves curved hemline regular fit,AND Women's Floral Regular Fit Top,798,https://images-na.ssl-images-amazon.com/images/I/91jBvY3M3hL._UL1500_.jpg,And,Clothing,Women,658,140,https://www.amazon.in/dp/B07CNZXNTH
44,13983,B0773N1S3B,Round neckline full sleeves all over shimmer black piping details regular fit.,AND Women's Plain Regular Fit Top,779,https://images-na.ssl-images-amazon.com/images/I/91in3B-Q54L._UL1500_.jpg,And,Clothing,Women,329,450,https://www.amazon.in/dp/B0773N1S3B
45,15470,B075DG73PT,Women's Checkered Regular Fit Shirt,AND Women's Checkered Regular Fit Shirt,719,https://images-na.ssl-images-amazon.com/images/I/91TiPA6AzyL._UL1500_.jpg,And,Clothing,Women,356,363,https://www.amazon.in/dp/B075DG73PT
