Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,id,pti,category2
88,6580,0.114379085,Men
89,6834,0.162750627,Men
90,6889,0.158823529,Men
91,6944,0.371480785,Men
92,7002,0.23009768,Men
93,7058,0.31106934,Men
94,7113,0.165131579,Men
95,7168,0.228121775,Men
96,7223,0.303132832,Men
97,8152,0.103174603,Men
98,10472,0.294747285,Men
99,13099,0.133928571,Men
100,13214,0.380952381,Men
101,14108,0.150250627,Men
102,14191,0.161455108,Men
103,15230,0.525104428,Men
104,16328,0.189484127,Men
105,16683,0.152882206,Men
106,17957,0.211361738,Men
107,18029,0.258730159,Men
108,19889,0.920479886,Men
109,20824,0.165674603,Men
110,20922,0.258823529,Men
111,20973,0.133928571,Men
112,21019,0.058823529,Women
113,21022,0,Women
114,21426,0.076923077,Women
115,21828,0.215382206,Women
116,4242,0.155806182,Women
117,4414,0.164285714,Women
118,9808,0.188095238,Women
119,10726,0.047619048,Women
120,10833,0.435110211,Women
121,12259,0.257875458,Women
122,20236,0.213450292,Women
123,22632,0.553506929,Women
124,22881,0.43512949,Women
125,23470,0.05,Women
126,23471,0.267763158,Women
127,23479,0.214629712,Women
128,23486,0.256056809,Women
129,23489,0.975734207,Women
130,23589,0.307894737,Women
131,23679,0.161998133,Women
132,9,8.582945817,Women
133,82,0.813105681,Men
134,94,1.010550414,Men
135,189,0.095238095,Men
136,568,0.219548872,Women
137,581,0.231932773,Women
138,1980,0.30342523,Men
139,3950,0.121323529,Men
140,4200,0.382048872,Men
141,4211,0.205806182,Men
142,4340,0.150250627,Men
143,4401,0.542867586,Men
144,4464,0.366624896,Men
145,4978,0.243107769,Men
146,5904,0.420779891,Women
147,5939,0.282142243,Women
148,5951,0.052631579,Men
149,6008,0.210526316,Unisex
150,6046,0.384586466,Unisex
151,6226,0.349196899,Unisex
152,6810,0.205513784,Unisex
153,8113,0.047619048,Unisex
154,9708,0.996795439,Unisex
155,11344,0.250501253,Men
156,26789,0.202882206,Men
157,448,0.389442356,Women
158,767,0.970112168,Unisex
159,11658,0.182478632,Unisex
160,12552,0.103174603,Women
161,13484,0.310776942,Men
162,22086,0.103174603,Women
163,22137,0.155555556,Men
164,22196,0,Unisex
165,22477,0.332026144,Women
166,1444,0.352380952,Men
167,5096,0.175490196,Unisex
168,5420,0.605806182,Women
169,8431,0.352369281,Women
170,8640,0.219548872,Women
171,8996,0.288240823,Women
172,9058,0.366666667,Women
173,13966,0.355513784,Women
174,3597,0.174603175,Women
175,3599,0.276785714,Women
176,3637,0.438397464,Women
177,3702,0.52966792,Women
178,4160,0.45154553,Women
179,4312,0.414285714,Women
180,7248,0.058823529,Women
181,8708,0.145238095,Women
182,8815,0.047619048,Women
183,11862,0.328581871,Women
184,12078,0.150250627,Women
185,13362,0.463408521,Women
186,13366,0.353614806,Women
187,13410,0.278028404,Women
188,13562,0.102631579,Women
189,13595,0.173202614,Women
190,13631,0.156442577,Women
191,13723,0.153174603,Women
192,13846,0.525950292,Women
193,13931,0.306693204,Women
194,13951,0.305555556,Women
195,14044,0.170278638,Women
196,14195,0.259324783,Women
197,14453,0.394978632,Women
198,14480,0.152882206,Women
199,14793,0.217010664,Women
200,15421,0.460507037,Women
201,15807,0.15,Women
202,15882,0.15,Women
203,15912,0.211998133,Women
204,285,0.105555556,Women
205,514,1.160213411,Women
206,2078,0.315382206,Women
207,2121,0.257894737,Women
208,3155,0.183333333,Women
209,3392,0.214285714,Women
210,3488,0.097619048,Women
211,3658,0.121323529,Women
212,3715,0.203174603,Women
213,3910,0.147619048,Men
214,4008,0.492909357,Men
215,4200,0.382048872,Men
216,4219,0.210119048,Men
217,4300,0.250250627,Men
218,4308,0.174542125,Men
219,4426,0.339191729,Men
220,4464,0.366624896,Men
221,4561,0.055555556,Men
222,4722,0.261998133,Men
223,5665,0.055555556,Men
224,5942,0.298852901,Men
225,6630,0.269642243,Men
226,6783,0.244978632,Men
227,6838,0.153174603,Men
228,6903,0.265811966,Men
229,6991,0.370687135,Men
230,7071,0.1125,Men
231,7128,0.095238095,Men
232,7155,0.152882206,Men
233,7160,0.211904762,Men
234,7220,0.378581871,Men
235,7278,0.858023263,Men
236,7320,0.210526316,Men
237,7430,0.158187135,Men
238,7444,0.348120301,Men
239,7679,0.282048872,Men
240,7818,0.26716792,Men
241,7830,0.150250627,Men
242,7990,0.402580972,Men
243,8112,0.364243943,Men
244,8528,0.111111111,Men
245,8882,0.219548872,Men
246,9055,0.210818713,Men
247,9056,0.150250627,Men
248,9711,1.194256475,Men
249,9785,0.515131579,Men
